isbn,average_rating,ratings_count,work_text_reviews_count
439023483,4.34,4780653,155254
439554934,4.44,4602479,75867
316015849,3.57,3866839,95009
61120081,4.25,3198671,72586
743273567,3.89,2683664,51992
525478817,4.26,2346404,140739
618260307,4.25,2071616,37653
316769177,3.79,2044241,44920
1416524797,3.85,2001311,25112
679783261,4.24,2035490,49152
1594480001,4.26,1813044,59730
62024035,4.24,1903563,101023
451524934,4.14,1956832,45518
452284244,3.87,1881700,35472
553296981,4.1,1972666,20825
307269752,4.11,1808403,62543
439023491,4.3,1831039,88538
043965548X,4.53,1832823,36099
618346252,4.34,1766803,15333
439023513,4.03,1719760,96274
439358078,4.46,1735368,28685
316166685,3.77,1605173,36642
439064864,4.37,1779331,34172
439139600,4.53,1753043,31084
545010225,4.61,1746574,51942
307277674,3.79,1447148,41560
439785960,4.54,1678823,27520
140283331,3.64,1605019,26886
743477111,3.73,1628519,14778
297859382,4.03,512475,121614
399155341,4.45,1531753,78204
142000671,3.84,1467496,24642
739326228,4.08,1300209,25605
1612130291,3.67,1338493,75437
61122416,3.82,1299566,55781
385732554,4.12,1296825,54084
60764899,4.19,1531800,15186
965818675,3.95,746287,43382
553588486,4.45,1319204,46205
143038419,3.51,1181647,49714
786838655,4.23,1366265,46006
451529308,4.04,1257121,17090
142437204,4.1,1198557,31212
553816713,4.06,1053403,17279
770430074,3.88,1003228,42962
1565125606,4.07,1068146,55732
375831002,4.36,1159741,93611
307347974,3.97,570498,30694
316160199,3.52,1149630,44020
60513039,4.29,1016888,9234
1416914285,4.12,1154031,51589
316160202,3.69,1134511,35216
375826696,3.86,1104021,18280
345391802,4.2,936782,20345
60929871,3.97,1022601,20095
031606792X,3.7,1070245,44550
142001740,4.01,916189,26522
142437174,3.8,953758,12448
64410935,4.15,1064521,13044
1400032717,3.85,867553,35796
1594633665,3.88,1008778,93600
679879242,3.94,953970,14915
393978893,3.82,899195,26157
743454537,4.06,863879,30719
385333846,4.06,846488,19646
446675539,4.28,873981,16050
1594489505,4.34,818742,43645
671027344,4.21,888806,47116
7442912,4.07,836362,55873
812550706,4.3,813439,38054
141439475,3.75,808589,19993
450040186,4.17,791850,14936
316068047,3.84,749780,39778
142402516,4.09,783470,47128
014028009X,3.75,736498,8157
141439661,4.06,738894,11526
